date,court,time,status,rate
2026-09-25,Court 1031,06:00,unknown,
2026-09-25,Court 1031,06:30,unknown,
2026-09-25,Court 1031,07:00,unknown,
2026-09-25,Court 1031,07:30,unknown,
2026-09-25,Court 1031,08:00,unknown,
2026-09-25,Court 1031,08:30,unknown,
2026-09-25,Court 1031,09:00,unknown,
2026-09-25,Court 1031,09:30,unknown,
2026-09-25,Court 1031,10:00,unknown,
2026-09-25,Court 1031,10:30,unknown,
2026-09-25,Court 1031,11:00,unknown,
2026-09-25,Court 1031,11:30,unknown,
2026-09-25,Court 1031,12:00,unknown,
2026-09-25,Court 1031,12:30,unknown,
2026-09-25,Court 1031,13:00,unknown,
2026-09-25,Court 1031,13:30,unknown,
2026-09-25,Court 1031,14:00,unknown,
2026-09-25,Court 1031,14:30,unknown,
2026-09-25,Court 1031,15:00,unknown,
2026-09-25,Court 1031,15:30,unknown,
2026-09-25,Court 1031,16:00,unknown,
2026-09-25,Court 1031,16:30,unknown,
2026-09-25,Court 1031,17:00,unknown,
2026-09-25,Court 1031,17:30,unknown,
2026-09-25,Court 1031,18:00,never,
2026-09-25,Court 1031,18:30,never,
2026-09-25,Court 1031,19:00,never,
2026-09-25,Court 1031,19:30,never,
2026-09-25,Court 1031,20:00,never,
2026-09-25,Court 1031,20:30,never,
2026-09-25,Court 1031,21:00,never,
2026-09-25,Court 1031,21:30,never,
2026-09-25,Court 1031,22:00,never,
2026-09-25,Court 1031,22:30,free,25.0
2026-09-25,Court 1031,23:00,sold,25.0
2026-09-25,Court 1031,23:30,sold,25.0
2026-09-25,Court 270c,06:00,unknown,
2026-09-25,Court 270c,06:30,unknown,
2026-09-25,Court 270c,07:00,unknown,
2026-09-25,Court 270c,07:30,unknown,
2026-09-25,Court 270c,08:00,unknown,
2026-09-25,Court 270c,08:30,unknown,
2026-09-25,Court 270c,09:00,unknown,
2026-09-25,Court 270c,09:30,unknown,
2026-09-25,Court 270c,10:00,unknown,
2026-09-25,Court 270c,10:30,unknown,
