date,court,time,status,rate
2026-09-25,Court 1c11,08:00,unknown,
2026-09-25,Court 1c11,08:30,unknown,
2026-09-25,Court 1c11,09:00,unknown,
2026-09-25,Court 1c11,09:30,unknown,
2026-09-25,Court 1c11,10:00,unknown,
2026-09-25,Court 1c11,10:30,unknown,
2026-09-25,Court 1c11,11:00,unknown,
2026-09-25,Court 1c11,11:30,unknown,
2026-09-25,Court 1c11,12:00,unknown,
2026-09-25,Court 1c11,12:30,unknown,
2026-09-25,Court 1c11,13:00,unknown,
2026-09-25,Court 1c11,13:30,unknown,
2026-09-25,Court 1c11,14:00,unknown,
2026-09-25,Court 1c11,14:30,unknown,
2026-09-25,Court 1c11,15:00,unknown,
2026-09-25,Court 1c11,15:30,unknown,
2026-09-25,Court 1c11,16:00,unknown,
2026-09-25,Court 1c11,16:30,unknown,
2026-09-25,Court 1c11,17:00,unknown,
2026-09-25,Court 1c11,17:30,unknown,
2026-09-25,Court 1c11,18:00,never,
2026-09-25,Court 1c11,18:30,never,
2026-09-25,Court 1c11,19:00,never,
2026-09-25,Court 1c11,19:30,never,
2026-09-25,Court 1c11,20:00,never,
2026-09-25,Court 1c11,20:30,never,
2026-09-25,Court 1c11,21:00,never,
2026-09-25,Court 1c11,21:30,never,
2026-09-25,Court 1c11,22:00,never,
2026-09-25,Court 1c11,22:30,never,
2026-09-25,Court 415b,08:00,unknown,
2026-09-25,Court 415b,08:30,unknown,
2026-09-25,Court 415b,09:00,unknown,
2026-09-25,Court 415b,09:30,unknown,
2026-09-25,Court 415b,10:00,unknown,
2026-09-25,Court 415b,10:30,unknown,
2026-09-25,Court 415b,11:00,unknown,
2026-09-25,Court 415b,11:30,unknown,
2026-09-25,Court 415b,12:00,unknown,
2026-09-25,Court 415b,12:30,unknown,
2026-09-25,Court 415b,13:00,unknown,
2026-09-25,Court 415b,13:30,unknown,
2026-09-25,Court 415b,14:00,unknown,
2026-09-25,Court 415b,14:30,unknown,
2026-09-25,Court 415b,15:00,unknown,
2026-09-25,Court 415b,15:30,unknown,
2026-09-25,Court 415b,16:00,unknown,
2026-09-25,Court 415b,16:30,unknown,
2026-09-25,Court 415b,17:00,unknown,
2026-09-25,Court 415b,17:30,unknown,
2026-09-25,Court 415b,18:00,never,
2026-09-25,Court 415b,18:30,never,
2026-09-25,Court 415b,19:00,never,
2026-09-25,Court 415b,19:30,never,
2026-09-25,Court 415b,20:00,never,
2026-09-25,Court 415b,20:30,never,
2026-09-25,Court 415b,21:00,never,
2026-09-25,Court 415b,21:30,never,
2026-09-25,Court 415b,22:00,never,
2026-09-25,Court 415b,22:30,never,
2026-09-25,Court 793e,08:00,unknown,
2026-09-25,Court 793e,08:30,unknown,
2026-09-25,Court 793e,09:00,unknown,
2026-09-25,Court 793e,09:30,unknown,
2026-09-25,Court 793e,10:00,unknown,
2026-09-25,Court 793e,10:30,unknown,
2026-09-25,Court 793e,11:00,unknown,
2026-09-25,Court 793e,11:30,unknown,
2026-09-25,Court 793e,12:00,unknown,
2026-09-25,Court 793e,12:30,unknown,
2026-09-25,Court 793e,13:00,unknown,
2026-09-25,Court 793e,13:30,unknown,
2026-09-25,Court 793e,14:00,unknown,
2026-09-25,Court 793e,14:30,unknown,
