date,court,time,status,rate
2026-09-25,Centre Court | Doyle Plastering,08:00,unknown,
2026-09-25,Centre Court | Doyle Plastering,08:30,unknown,
2026-09-25,Centre Court | Doyle Plastering,09:00,unknown,
2026-09-25,Centre Court | Doyle Plastering,09:30,unknown,
2026-09-25,Centre Court | Doyle Plastering,10:00,unknown,
2026-09-25,Centre Court | Doyle Plastering,10:30,unknown,
2026-09-25,Centre Court | Doyle Plastering,11:00,unknown,
2026-09-25,Centre Court | Doyle Plastering,11:30,unknown,
2026-09-25,Centre Court | Doyle Plastering,12:00,unknown,
2026-09-25,Centre Court | Doyle Plastering,12:30,unknown,
2026-09-25,Centre Court | Doyle Plastering,13:00,unknown,
2026-09-25,Centre Court | Doyle Plastering,13:30,unknown,
2026-09-25,Centre Court | Doyle Plastering,14:00,unknown,
2026-09-25,Centre Court | Doyle Plastering,14:30,unknown,
2026-09-25,Centre Court | Doyle Plastering,15:00,unknown,
2026-09-25,Centre Court | Doyle Plastering,15:30,unknown,
2026-09-25,Centre Court | Doyle Plastering,16:00,unknown,
2026-09-25,Centre Court | Doyle Plastering,16:30,unknown,
2026-09-25,Centre Court | Doyle Plastering,17:00,unknown,
2026-09-25,Centre Court | Doyle Plastering,17:30,unknown,
2026-09-25,Centre Court | Doyle Plastering,18:00,never,
2026-09-25,Centre Court | Doyle Plastering,18:30,never,
2026-09-25,Centre Court | Doyle Plastering,19:00,never,
2026-09-25,Centre Court | Doyle Plastering,19:30,never,
2026-09-25,Centre Court | Doyle Plastering,20:00,never,
2026-09-25,Centre Court | Doyle Plastering,20:30,never,
2026-09-25,Centre Court | Doyle Plastering,21:00,never,
2026-09-25,Centre Court | Doyle Plastering,21:30,never,
2026-09-25,The Punchy Court,08:00,unknown,
2026-09-25,The Punchy Court,08:30,unknown,
2026-09-25,The Punchy Court,09:00,unknown,
2026-09-25,The Punchy Court,09:30,unknown,
2026-09-25,The Punchy Court,10:00,unknown,
2026-09-25,The Punchy Court,10:30,unknown,
2026-09-25,The Punchy Court,11:00,unknown,
2026-09-25,The Punchy Court,11:30,unknown,
2026-09-25,The Punchy Court,12:00,unknown,
2026-09-25,The Punchy Court,12:30,unknown,
2026-09-25,The Punchy Court,13:00,unknown,
2026-09-25,The Punchy Court,13:30,unknown,
2026-09-25,The Punchy Court,14:00,unknown,
2026-09-25,The Punchy Court,14:30,unknown,
2026-09-25,The Punchy Court,15:00,unknown,
2026-09-25,The Punchy Court,15:30,unknown,
2026-09-25,The Punchy Court,16:00,unknown,
2026-09-25,The Punchy Court,16:30,unknown,
2026-09-25,The Punchy Court,17:00,unknown,
2026-09-25,The Punchy Court,17:30,unknown,
2026-09-25,The Punchy Court,18:00,never,
2026-09-25,The Punchy Court,18:30,never,
2026-09-25,The Punchy Court,19:00,never,
2026-09-25,The Punchy Court,19:30,never,
2026-09-25,The Punchy Court,20:00,never,
2026-09-25,The Punchy Court,20:30,never,
2026-09-25,The Punchy Court,21:00,never,
2026-09-25,The Punchy Court,21:30,never,
2026-09-25,The Shandy Shack Court,08:00,unknown,
2026-09-25,The Shandy Shack Court,08:30,unknown,
2026-09-25,The Shandy Shack Court,09:00,unknown,
2026-09-25,The Shandy Shack Court,09:30,unknown,
2026-09-25,The Shandy Shack Court,10:00,unknown,
2026-09-25,The Shandy Shack Court,10:30,unknown,
2026-09-25,The Shandy Shack Court,11:00,unknown,
2026-09-25,The Shandy Shack Court,11:30,unknown,
2026-09-25,The Shandy Shack Court,12:00,unknown,
2026-09-25,The Shandy Shack Court,12:30,unknown,
2026-09-25,The Shandy Shack Court,13:00,unknown,
2026-09-25,The Shandy Shack Court,13:30,unknown,
2026-09-25,The Shandy Shack Court,14:00,unknown,
2026-09-25,The Shandy Shack Court,14:30,unknown,
2026-09-25,The Shandy Shack Court,15:00,unknown,
2026-09-25,The Shandy Shack Court,15:30,unknown,
2026-09-25,The Shandy Shack Court,16:00,unknown,
2026-09-25,The Shandy Shack Court,16:30,unknown,
2026-09-25,The Shandy Shack Court,17:00,unknown,
2026-09-25,The Shandy Shack Court,17:30,unknown,
2026-09-25,The Shandy Shack Court,18:00,never,
2026-09-25,The Shandy Shack Court,18:30,never,
2026-09-25,The Shandy Shack Court,19:00,never,
2026-09-25,The Shandy Shack Court,19:30,never,
2026-09-25,The Shandy Shack Court,20:00,never,
2026-09-25,The Shandy Shack Court,20:30,never,
2026-09-25,The Shandy Shack Court,21:00,never,
2026-09-25,The Shandy Shack Court,21:30,never,
