date,court,time,status,rate
2026-09-25,Court 1,08:00,unknown,
2026-09-25,Court 1,08:30,unknown,
2026-09-25,Court 1,09:00,unknown,
2026-09-25,Court 1,09:30,unknown,
2026-09-25,Court 1,10:00,unknown,
2026-09-25,Court 1,10:30,unknown,
2026-09-25,Court 1,11:00,unknown,
2026-09-25,Court 1,11:30,unknown,
2026-09-25,Court 1,12:00,unknown,
2026-09-25,Court 1,12:30,unknown,
2026-09-25,Court 1,13:00,unknown,
2026-09-25,Court 1,13:30,unknown,
2026-09-25,Court 1,14:00,unknown,
2026-09-25,Court 1,14:30,unknown,
2026-09-25,Court 1,15:00,unknown,
2026-09-25,Court 1,15:30,unknown,
2026-09-25,Court 1,16:00,unknown,
2026-09-25,Court 1,16:30,unknown,
2026-09-25,Court 1,17:00,unknown,
2026-09-25,Court 1,17:30,unknown,
2026-09-25,Court 1,18:00,never,
2026-09-25,Court 1,18:30,never,
2026-09-25,Court 1,19:00,never,
2026-09-25,Court 1,19:30,never,
2026-09-25,Court 1,20:00,never,
2026-09-25,Court 1,20:30,never,
2026-09-25,Court 1,21:00,never,
2026-09-25,Court 1,21:30,never,
2026-09-25,Court 2,08:00,unknown,
2026-09-25,Court 2,08:30,unknown,
2026-09-25,Court 2,09:00,unknown,
2026-09-25,Court 2,09:30,unknown,
2026-09-25,Court 2,10:00,unknown,
2026-09-25,Court 2,10:30,unknown,
2026-09-25,Court 2,11:00,unknown,
2026-09-25,Court 2,11:30,unknown,
2026-09-25,Court 2,12:00,unknown,
2026-09-25,Court 2,12:30,unknown,
2026-09-25,Court 2,13:00,unknown,
2026-09-25,Court 2,13:30,unknown,
2026-09-25,Court 2,14:00,unknown,
2026-09-25,Court 2,14:30,unknown,
2026-09-25,Court 2,15:00,unknown,
2026-09-25,Court 2,15:30,unknown,
2026-09-25,Court 2,16:00,unknown,
2026-09-25,Court 2,16:30,unknown,
2026-09-25,Court 2,17:00,unknown,
2026-09-25,Court 2,17:30,unknown,
2026-09-25,Court 2,18:00,never,
2026-09-25,Court 2,18:30,never,
2026-09-25,Court 2,19:00,never,
2026-09-25,Court 2,19:30,never,
2026-09-25,Court 2,20:00,never,
2026-09-25,Court 2,20:30,never,
2026-09-25,Court 2,21:00,never,
2026-09-25,Court 2,21:30,never,
