club,court,type
Padel Maidenhead,Court 1,covered
Padel Maidenhead,Court 2,covered
Padel Maidenhead,Court 3,covered
Padel Maidenhead,Court 4,covered
Padel Maidenhead,Court 5,covered
Padel Maidenhead,Court 6,covered
Padel Maidenhead,Show Court,outdoor
PADELHUB SL2 Slough,1 | Vertu Mercedes Benz Court,indoor
PADELHUB SL2 Slough,Court 2 Powered by PadX,indoor
PADELHUB SL2 Slough,Court 3,indoor
PADELHUB SL2 Slough,Court 4,indoor
PADELHUB SL2 Slough,Court 5 Powered by PadX,indoor
UK Padel Holmer Green,Centre Court | Doyle Plastering,outdoor
UK Padel Holmer Green,The Punchy Court,covered
UK Padel Holmer Green,The Shandy Shack Court,covered
UK Padel Stoke Poges,Court 1,outdoor
UK Padel Stoke Poges,Court 2,outdoor
UK Padel Princes Risborough,Court 1,outdoor
UK Padel Princes Risborough,Court 2,outdoor
Padel at Denham Grove,Court1,outdoor
Padel at Denham Grove,Court2,outdoor
Lacey Green & Loosley Row,Padel 1,outdoor
Rulo Clubs Chesham,Court 2,indoor
Rulo Clubs Chesham,Court 3,indoor
Rulo Clubs Chesham,Court 4,indoor
Padel Powerhouse Burnham,Padel 1,outdoor
Padel Powerhouse Burnham,Padel 2,outdoor
Ezeepadel Weybridge,Padel 1,outdoor
Ezeepadel Weybridge,Padel 2,outdoor
Ezeepadel Weybridge,Padel 3,outdoor
Ezeepadel Weybridge,Padel 4,outdoor
Padel Social Club Earl's Court,Court 1,outdoor
Padel Social Club Earl's Court,Court 2,outdoor
Padel Social Club Earl's Court,Court 3,indoor
Padel Social Club Earl's Court,Court 4,indoor
Padel Social Club Earl's Court,Court 5,outdoor
Padel Social Club Earl's Court,Show Court,outdoor
